fecha	valor
9/1988	2053.6
8/1988	1980.7
7/1988	1916.6
6/1988	2006.8
5/1988	2011.0
4/1988	1769.9
3/1988	2012.9
2/1988	1731.2
1/1988	1380.3
12/1987	1473.6
11/1987	1782.2
10/1987	1737.4
9/1987	1798.5
8/1987	1645.4
7/1987	1988.2
6/1987	1860.9
5/1987	1890.0
4/1987	1674.6
3/1987	1777.9
2/1987	1431.6
1/1987	1175.7
12/1986	1440.4
11/1986	1566.0
10/1986	1742.8
9/1986	1641.9
8/1986	1445.2
7/1986	1707.8
6/1986	1646.6
5/1986	1578.0
4/1986	1659.2
3/1986	1351.1
2/1986	1251.4
1/1986	1206.2
12/1985	1376.2
11/1985	1392.9
10/1985	1690.7
9/1985	1478.1
8/1985	1387.3
7/1985	1522.8
6/1985	1343.3
5/1985	1506.8
4/1985	1342.4
3/1985	1303.1
2/1985	1179.4
1/1985	1022.5
12/1984	1165.9
11/1984	1284.4
10/1984	1480.6
9/1984	1329.3
8/1984	1427.8
7/1984	1453.9
6/1984	1404.8
5/1984	1447.4
4/1984	1307.4
3/1984	1347.8
2/1984	1298.7
1/1984	1290.2
12/1983	1323.0
11/1983	1396.3
10/1983	1446.0
9/1983	1506.0
8/1983	1525.0
7/1983	1516.0
6/1983	1586.0
5/1983	1694.0
4/1983	1543.0
3/1983	1704.0
2/1983	1297.0
1/1983	1387.0
12/1982	1446.0
11/1982	1559.0
10/1982	1491.0
9/1982	1634.0
8/1982	1576.0
7/1982	1680.0
6/1982	1582.0
5/1982	1662.0
4/1982	1553.0
3/1982	1693.0
2/1982	1414.0
1/1982	1238.0
12/1981	1284.0
11/1981	1616.0
10/1981	1581.0
9/1981	1568.0
8/1981	1474.0
7/1981	1734.0
6/1981	1615.0
5/1981	1584.0
4/1981	1455.0
3/1981	1776.0
2/1981	1456.0
1/1981	1344.0
12/1980	1326.0
11/1980	1559.0
10/1980	1786.0
9/1980	1697.0
8/1980	1466.0
7/1980	1830.0
6/1980	1659.0
5/1980	1748.0
4/1980	1670.0
3/1980	1691.0
2/1980	1656.0
1/1980	1637.0
12/1979	1444.0
11/1979	1774.0
10/1979	1788.0
9/1979	1674.0
8/1979	1703.0
7/1979	1869.0
6/1979	1829.0
5/1979	1999.0
4/1979	1684.0
3/1979	1840.0
2/1979	1573.0
1/1979	1596.0
12/1978	1391.0
11/1978	1976.0
10/1978	1974.0
9/1978	1944.0
8/1978	1847.0
7/1978	1861.0
6/1978	2072.0
5/1978	1930.0
4/1978	1872.0
3/1978	1818.0
2/1978	1671.0
1/1978	1672.0
12/1977	1598.0
11/1977	1915.0
10/1977	1832.0
9/1977	1957.0
8/1977	1829.0
7/1977	1765.0
6/1977	1919.0
5/1977	1970.0
4/1977	1738.0
3/1977	2047.0
2/1977	1649.0
1/1977	1491.0
12/1976	1636.0
11/1976	1842.0
10/1976	1810.0
9/1976	1868.0
8/1976	1742.0
7/1976	1897.0
6/1976	1783.0
5/1976	1854.0
4/1976	1789.0
3/1976	2006.0
2/1976	1539.0
1/1976	1527.0
12/1975	1549.9
11/1975	1671.8
10/1975	2005.6
9/1975	1823.6
8/1975	1620.9
7/1975	1763.3
6/1975	1869.4
5/1975	1822.7
4/1975	1913.0
3/1975	1564.8
2/1975	1637.4
1/1975	1606.9
12/1974	1601.9
